case	rnaseq_fid	mirna_count	mirna_fname	mirna_fid
TCGA-51-4079	087b7930-d706-4ff0-bf37-ef30b40f525f	1	92f1e0a2-a6c6-4abe-bbcb-a8062720c8f7.mirbase21.mirnas.quantification.txt	e6fe5aef-be80-43bd-8883-de2a6ddeeb7d
TCGA-56-7582	0d0bc489-f624-48e0-80cc-06498e4efc03	2	4e0ec736-44db-4326-a239-457ce1325f98.mirbase21.mirnas.quantification.txt	b368bf2b-be20-4cf8-a8f8-c6fc88a95457
TCGA-85-7710	0dcd932f-b9e7-42dc-b6f5-af199defe29f	2	f1345c11-190c-4bb4-bd84-bad9e6de8b35.mirbase21.mirnas.quantification.txt	48bba4a1-c128-404c-9776-84c3b80ab7be
TCGA-56-8083	0eb11f5d-dafc-45aa-bc94-b9f57a0836fb	2	0625a55e-f498-4c76-ad23-a7a51e8a25c4.mirbase21.mirnas.quantification.txt	2a839fe0-0fd4-49d4-a923-00e1bfc40570
TCGA-43-6647	12aa0ca8-5466-4677-a304-0584d1e806d5	1	da3cceae-5406-435a-8f65-bd4ed96bc098.mirbase21.mirnas.quantification.txt	58381f89-5465-4925-9152-10148465ab68
TCGA-56-7579	29dec939-10b2-4455-8385-8f1184187a41	2	c94076d9-0fee-4bfa-b399-00670b3d1a7b.mirbase21.mirnas.quantification.txt	afb493e8-3d77-4c8f-9577-ec36037c53d4
TCGA-43-7658	2a2f0f28-68dc-4ef8-91de-a051c48013fa	2	a7924a92-8823-45c0-935e-36970ac8050e.mirbase21.mirnas.quantification.txt	9d3feab4-74a7-4dfa-b692-35fedf794b17
TCGA-77-7138	2de65f22-7c45-4909-a175-34e5a4570a19	2	51cd1aac-de27-49a4-9264-2e9ad80ab449.mirbase21.mirnas.quantification.txt	54f05781-844e-4ada-9c7b-ae95e596757e
TCGA-56-8309	2f89d3d9-0480-4213-aab2-b19870c366b5	2	06005b35-aee3-404e-b7cd-a5d0fbd159ea.mirbase21.mirnas.quantification.txt	dc2400cb-0bd0-49ea-90eb-2a131e1e993c
TCGA-90-6837	3209225e-89f5-4dba-9bd8-f2df19ea6588	2	bf506c07-72b1-40df-b950-43c22e342d91.mirbase21.mirnas.quantification.txt	2a3f301b-4afe-44d3-af0f-8f3803ab78e2
TCGA-90-7767	3fba142f-1099-4b41-a8aa-b04043911424	2	406ef140-8ce6-4fa9-86a7-2d65c448b362.mirbase21.mirnas.quantification.txt	e2c3e698-7eae-4cc9-8ca3-dad278cc45f1
TCGA-56-7222	4191f855-52c0-441e-b566-812c6dd5ca65	2	31cbb30d-6f39-436a-a323-6a9e85bba8f3.mirbase21.mirnas.quantification.txt	1fa6fe4c-2369-4e1f-af42-72cbe3be119c
TCGA-33-4587	4221fb8c-44e6-4e2a-9207-d8868cfb6ce5	2	30b00ddd-4aa8-4417-b26e-284e44cd7e84.mirbase21.mirnas.quantification.txt	d4587170-ff8c-4ff1-b513-9e9c3b95040e
TCGA-43-7657	4a109268-236f-4bcb-8224-fa841859a5e6	2	4c382735-abf8-4ff8-8479-4887651fc1cf.mirbase21.mirnas.quantification.txt	b688460b-5c4a-4eaa-84fc-302f29c47def
TCGA-56-7823	515d4301-f912-4617-bdd1-6fda9e268c56	2	7064dd07-4581-405c-b2c1-623102f17dbd.mirbase21.mirnas.quantification.txt	47672592-915a-4ddd-8f89-5220490668b4
TCGA-77-7142	547fb1a8-ca5a-4a2f-bbef-ed6b57c6119a	2	c6903237-c137-40d8-ba54-936099ab81d2.mirbase21.mirnas.quantification.txt	0c2b3499-f5d3-4163-89c0-88a9b5da8087
TCGA-58-8386	582343df-3acb-41e5-8940-db6615f634e1	2	ce7f92f7-743c-4011-8fed-4c87196a06ff.mirbase21.mirnas.quantification.txt	445c600c-6176-40ad-a1d2-a545aefd93a5
TCGA-34-8454	5d98c562-3b6c-458d-bc65-079e5d19137b	2	6002b8bf-51f8-402e-bec1-31aed5e9c5ed.mirbase21.mirnas.quantification.txt	ee2fb50a-885b-4115-b006-ca6205b915f6
TCGA-22-5481	61f87fd7-2eb1-45da-bad8-747dd19e95a8	1	328445a8-c19d-4352-80ff-06f2bfc415c1.mirbase21.mirnas.quantification.txt	687fa338-a881-4a2d-bfb9-5a4749a9f3fa
TCGA-56-7580	6220b8a9-3a40-4aba-ba57-b5d76ba3e021	2	ad29232f-e5e5-4206-8ab3-cf45ac0c49e1.mirbase21.mirnas.quantification.txt	ece4bd52-0c7b-4cb8-ab6c-fbe10f97eb36
TCGA-43-6771	818d01aa-eb94-4461-8586-2d1b7c8ef60d	2	8051f857-9875-427f-a757-4091db3c591a.mirbase21.mirnas.quantification.txt	bb2acdaa-3a26-421a-a9e9-4ea3336a467b
TCGA-77-8007	86c23dc5-ce12-4ef1-b874-7f6119c76dc1	2	0ab8ae70-56d3-4ebd-9094-71b3165faa61.mirbase21.mirnas.quantification.txt	3cf6046d-b275-4212-994a-7fa1a7a2f04a
TCGA-77-7338	8762eacd-dd02-4f83-a202-af8d5057a8df	2	499fb488-9d2e-4e6f-af8a-952bee8d71ef.mirbase21.mirnas.quantification.txt	5ba1ad20-9df3-4657-aac6-dee81c9d89cf
TCGA-22-5482	8cf4c669-ab49-41a6-b493-2b95e0e5dc15	1	ce46e1ee-09b5-40f9-9494-e02ffd8921e3.mirbase21.mirnas.quantification.txt	89a26591-e6b8-4810-8092-99bb8bba529c
TCGA-77-7337	8e371293-9e63-47af-bd5a-e78fb74bd5c7	2	9a2f125c-7437-4638-ad9f-21882f315afa.mirbase21.mirnas.quantification.txt	d2800ff2-2114-42f3-a56a-7efa5ae56105
TCGA-22-5491	917f39cb-cd29-41d5-9b72-cc4d14aac2a0	1	0d2a9906-38d3-47d9-b103-4b81c2079a70.mirbase21.mirnas.quantification.txt	b0556ac7-033f-4e92-a653-71e10df01955
TCGA-33-6737	92ab7ab5-7695-4aa2-81e9-6c6759f37b49	2	61634ced-305a-4335-baf6-6acbab279845.mirbase21.mirnas.quantification.txt	1171132c-1153-4bd2-8ca5-87b89062ef7d
TCGA-34-7107	931e5b4c-523c-438d-804c-b2d18e8b6d6e	2	1708596c-93c5-41eb-9291-62025d81af0f.mirbase21.mirnas.quantification.txt	78b303e3-8b8e-4eaf-9696-4d4264f8dfb7
TCGA-92-7340	946e5313-5d65-49e3-ae63-62f3b29dd167	2	333d85dc-a78e-468f-b417-e60ed09bc804.mirbase21.mirnas.quantification.txt	cabc7e72-dc74-4d46-8b00-e39adc878f13
