case	rnaseq_fid	mirna_count	mirna_fname	mirna_fid
TCGA-50-5935	0268d740-37f4-48ad-a9a6-0fad12d26d8e	1	457eb90d-9827-4986-bcc1-053d0a4d43b1.mirbase21.mirnas.quantification.txt	e121bcd2-6561-43d5-acc7-13c4a2317445
TCGA-44-6147	03b4cdde-2bbf-478d-b751-8fb592e99667	3	1c59746c-9d4a-4ee2-a168-8760ad63d397.mirbase21.mirnas.quantification.txt	2816c887-04e1-4a63-9246-db2b55afcea2
TCGA-44-2665	04bdcd2b-6dde-4c5a-a0cc-31941f3fe3dd	2	3e2478c8-d006-4546-9a5f-a9e6489d2f1a.mirbase21.mirnas.quantification.txt	bdff34ce-f6cf-4906-a027-1533e1f3711a
TCGA-44-2657	0953ce77-71fe-4942-96be-27658135bbd8	2	888c9616-312f-4792-a4e6-3a759e6b5384.mirbase21.mirnas.quantification.txt	6b728951-a55f-4ea4-9a8a-db624e118b1c
TCGA-38-4625	09b4d8e9-c0c7-478f-b6dc-e6552f38a67f	1	49d788ae-36df-4cbb-99f4-db23b95e6759.mirbase21.mirnas.quantification.txt	61314805-41f2-408b-8682-7631363b5b09
TCGA-55-6978	10140ed6-2634-46e7-9e8d-7912a8ba794b	1	80ba5897-8a92-4c15-affd-a78c9e1d5f2a.mirbase21.mirnas.quantification.txt	e655bf71-2d14-4595-b984-53efaeac4d65
TCGA-50-5932	1259fc1b-7fc8-4da6-97f8-9db96f5cd1bc	2	bda7b530-af0c-4358-b939-13655eb9ff48.mirbase21.mirnas.quantification.txt	2e83bcf1-5488-4b37-ada5-4e93673c1049
TCGA-50-5939	214a3018-5f2f-4340-bde2-7f893b84e573	1	872ff828-53a2-4c1f-8732-4212e710c9ed.mirbase21.mirnas.quantification.txt	955ff656-2309-4d84-9b0d-d1ef0700f127
TCGA-91-6831	21f2e1df-9797-4d33-ab48-34d4b53c25d8	1	7887145f-dcab-4c1d-abe3-e85bffd5321d.mirbase21.mirnas.quantification.txt	e6d0337c-24ed-47fe-a6eb-c85f9d9d95a5
TCGA-49-6745	26748992-7910-4a84-bfbd-9dbd7c28145a	2	0765c335-1688-4d47-a05c-05213efa89b0.mirbase21.mirnas.quantification.txt	bbbe2725-b983-4141-9069-06cd648e7761
TCGA-44-6776	2bee31d3-c2d7-4ae7-b246-c82dd6eee91f	2	6abf035b-c4b7-4f11-b75d-73ca19dea554.mirbase21.mirnas.quantification.txt	7ec63555-9145-4a0d-84b9-545410c4b285
TCGA-55-6980	2f0a9ef5-b2f4-4d26-b393-fb41e6787a03	1	871862c9-2fb6-46f8-9d19-1f874901a3b5.mirbase21.mirnas.quantification.txt	8e540107-7469-4464-a81f-7ed99ef27313
TCGA-44-6777	39c77c25-a12e-4067-a021-02dca041fa49	2	049c8973-5621-4863-9fd4-3e8e7b47b9ea.mirbase21.mirnas.quantification.txt	75523cd0-bbd0-40a1-8cf2-98e8dd310bcf
TCGA-38-4626	3d169b9c-60d2-4a42-974a-051946d0ee03	1	63c71532-352e-4bac-89fc-312da703f7fc.mirbase21.mirnas.quantification.txt	864aab6d-e5a2-4e0e-b5b1-11306de65bbc
TCGA-55-6986	49b68318-2d19-45b4-abe9-7784cf1b7b07	1	c16ca942-f7a5-4bc4-bc08-0a9cf9b77227.mirbase21.mirnas.quantification.txt	cc718608-5cde-4558-a66b-9f86840e9a32
TCGA-49-6742	4b1bfa22-7b9a-4726-a92d-092c0a8e7afa	2	4d869897-10d0-4f49-922d-f7ee9fc3c591.mirbase21.mirnas.quantification.txt	1b4915fa-7d36-477a-8bdf-30a6ce5437e9
TCGA-50-5933	4f222653-52ea-4adc-975d-b181a2889525	2	36899d7a-8e6b-4907-9b11-5380bc35c470.mirbase21.mirnas.quantification.txt	84a6bbb7-6b77-4c20-b52a-f977c0edd88d
TCGA-44-6778	5c3526dd-343b-452b-bd79-876af18dbbc9	2	83c90ddf-86be-4aa3-ae73-eac2bcac7994.mirbase21.mirnas.quantification.txt	8107e921-87b2-44a7-94ae-2e3dc43acebb
TCGA-44-2655	5e856178-7b94-4999-9e16-3f72af4fad2b	2	92b25422-ea11-4b60-bc35-e86c0d73db9f.mirbase21.mirnas.quantification.txt	80d77222-2f22-44a2-a54e-93c38db0d94f
TCGA-91-6829	6128062b-57a9-42dc-9a4a-c95b48103736	1	5bff05d5-7770-48c1-b183-e3bb2ed03726.mirbase21.mirnas.quantification.txt	aeca6bd4-983f-418b-a479-b7df2a069658
TCGA-44-6148	645ad7f9-dc9a-43e8-a677-5339150b849f	1	934c2c9a-6a5a-4218-8385-e694528ad058.mirbase21.mirnas.quantification.txt	2c1cfbcb-c947-488e-891c-70559bf628a8
TCGA-55-6982	64c6bb02-e3d5-4762-883a-c041097c6f94	1	f7ef1918-8289-47e1-910a-a36457c44767.mirbase21.mirnas.quantification.txt	819b29ba-97fc-460d-b63e-0f77f0ccaad1
TCGA-91-6849	66cb1ab2-787a-436e-9826-90211a052dee	1	9692278e-21e3-48ce-b642-02a7cd12a028.mirbase21.mirnas.quantification.txt	b12cf784-3971-474b-9faf-3dd0639a8248
TCGA-44-6146	687e2c81-ce43-4df9-a238-ed84661ff0c4	3	be1adfd1-db23-411d-97cf-2f4e03cfac9e.mirbase21.mirnas.quantification.txt	65bcc591-4a45-442c-a2c3-16e0d034a512
TCGA-55-6970	6c9d7d9a-035a-4241-9a5b-f553e57bdbfa	1	d0f51e84-29be-4527-ad49-11dff47f084a.mirbase21.mirnas.quantification.txt	5db941e1-5e0c-4fec-bd39-1a6b6b3eb2af
TCGA-44-2662	6ce37153-d523-437a-ac96-c098a0c9eb60	1	50a432f0-c317-4af8-9a5a-0a89475a2fee.mirbase21.mirnas.quantification.txt	fcd2153a-5ac1-48cc-8910-62d2b8780087
TCGA-38-4632	706514bc-d7ab-4b10-b140-56616b2b0bd3	1	afe96ef3-dffe-48c6-babc-08d3ea751b0c.mirbase21.mirnas.quantification.txt	27021eee-7d29-4e12-9e62-94b26ba00a4a
TCGA-55-6983	710d7a49-c41b-43ed-8deb-0bda0c1e1653	1	0ce7bbc4-8258-4e88-afbd-26d99b8af1e1.mirbase21.mirnas.quantification.txt	aec4458d-ffa4-4f43-98b4-0504b0319b80
TCGA-73-4676	75b2c8cb-edf2-4193-ad19-c818b2793c0b	1	c515ac5a-029c-4453-86cb-96da2ab9b714.mirbase21.mirnas.quantification.txt	700c1f71-84f4-4f54-af44-839f73f2d00f
TCGA-55-6972	80514b4b-da7a-455d-bc0d-8a3a1b7afaeb	1	0d7b629e-468b-4361-9ee1-9708847b1293.mirbase21.mirnas.quantification.txt	c00969f9-b7b6-4c60-b637-0a6942247594
TCGA-91-6836	831ca509-b561-4bf0-a536-2749afe66422	2	515fc037-6783-4940-9fde-1f9577b2a356.mirbase21.mirnas.quantification.txt	f8840ac2-9513-4bc3-8d2d-d97430de8bd9
TCGA-91-6835	8718d1dc-a543-414e-b2b0-36f3110408d1	2	78ec4cda-26a0-41cf-9bfa-1e69ae2beab5.mirbase21.mirnas.quantification.txt	d7643917-42c2-4492-b60d-e9584a93de42
TCGA-44-6144	88e053e7-9f23-4fd1-8a6e-c1a13baafdc2	2	22e7e8f8-94da-4bf8-9a9a-a2c33fc3c6f9.mirbase21.mirnas.quantification.txt	191e1b09-6cba-48d1-aeec-e36bd5e899c9
TCGA-38-4627	90136c58-605a-404f-8b1e-162b42488974	1	f187f1a5-26e4-4170-9536-61651275870a.mirbase21.mirnas.quantification.txt	d8cc0089-5b9c-487f-87ab-9a203b4be5fe
TCGA-55-6969	994d3328-ddec-4af6-9e18-b2097b23da66	1	895e3e43-7c54-4708-a647-f4d3c58eb278.mirbase21.mirnas.quantification.txt	81ad4ecd-5163-4e7e-a17a-071185b0fbd9
TCGA-55-6975	9a721d29-4649-4098-bd37-72863a36a15f	0		
TCGA-49-4512	9b4b5fb6-e021-48aa-a9eb-ef3a40fa9b76	1	fb6b7424-20e2-4426-9e7a-ce187d2cff86.mirbase21.mirnas.quantification.txt	c0b29f46-6415-4f68-96f9-41c5a2fdad4e
TCGA-44-3396	9cd9f2a1-ae09-4c5e-a832-e3c77034443b	2	5f0feb17-4be7-4144-9625-423d89eae22d.mirbase21.mirnas.quantification.txt	077c2ca3-a580-4798-b361-e7ea2b207b43
TCGA-44-6145	a3eec6fd-74e2-4683-8d54-e72e628fabf6	1	a99e2b03-b582-4d14-a4d8-5d152774eb15.mirbase21.mirnas.quantification.txt	f5061378-535c-4a65-bf58-0faf7b28e450
